order_id,material_name,material_code,quantity,unit_price,total_price,order_date,employee_id,status,region,is_free_text,Prediction,Probability
ORD-0007,keys,080446485-5,12,810,9720,6/26/2025,EMP-023,Cancelled,South,False,keys,1.0
ORD-0097,vase,437467670-8,4,690,2760,6/7/2025,EMP-032,Cancelled,East,False,vase,0.98
ORD-0053,cumckoo crp-hs0657f rice cooker,,17,400,6800,7/27/2025,EMP-024,Open,East,True,N,0.11
ORD-0416,hard drive,305257897-9,7,960,6720,1/2/2025,EMP-027,Open,South,False,hard drive,0.99
ORD-0900,post-it notes,999861710-3,8,890,7120,8/28/2025,EMP-025,Closed,West,False,post-it notes,0.97
ORD-0314,towel,128737223-6,7,590,4130,7/27/2025,EMP-024,Open,East,False,towel,0.71
ORD-0758,hard drive,305257897-9,16,960,15360,1/11/2025,EMP-036,Open,East,False,hard drive,0.99
ORD-0108,garlic press,900394976-X,5,870,4350,8/28/2025,EMP-025,Closed,West,False,N,0.25
ORD-0338,curtains,025355772-0,16,760,12160,4/5/2025,EMP-030,Open,North,False,N,0.58
ORD-0525,mirror,595523540-X,10,530,5300,2/3/2025,EMP-028,Closed,East,False,mirror,0.96
ORD-0113,cutting board,288099785-2,3,990,2970,4/24/2025,EMP-021,Open,West,False,cutting board,0.98
ORD-0379,spoon,522462286-7,1,650,650,9/10/2025,EMP-035,Cancelled,South,False,N,0.51
ORD-0285,platsn,,11,810,8910,5/6/2025,EMP-031,Closed,South,True,N,0.11
ORD-0878,dustpan,643930835-1,7,640,4480,4/14/2025,EMP-039,Open,South,False,N,0.11
ORD-0065,computer,916593960-3,17,1000,17000,1/2/2025,EMP-027,Open,South,False,computer,0.84
ORD-0073,ladle,094494303-9,17,700,11900,9/1/2025,EMP-026,Cancelled,North,False,ladle,0.84
ORD-0926,toilejt,,16,820,13120,7/8/2025,EMP-033,Open,West,True,N,0.11
ORD-0221,toothbrush holder,187586370-2,5,970,4850,4/24/2025,EMP-021,Open,West,False,toothbrush holder,0.81
ORD-0404,sewing kit,745110210-6,11,980,10780,7/27/2025,EMP-024,Open,East,False,sewing kit,0.67
ORD-0876,bed,924658502-X,13,530,6890,2/12/2025,EMP-037,Closed,West,False,bed,0.99
ORD-0993,first aid kit,119998156-7,6,840,5040,2/12/2025,EMP-037,Closed,West,False,first aid kit,0.62
ORD-0150,book,568190630-2,3,580,1740,5/25/2025,EMP-022,Closed,North,False,N,0.21
ORD-0475,thermostat,708686037-9,17,580,9860,6/7/2025,EMP-032,Cancelled,East,False,thermostat,0.88
ORD-0793,closet,594390988-5,17,940,15980,9/10/2025,EMP-035,Cancelled,South,False,N,0.23
ORD-0000,notcebook,,18,260,4680,8/19/2025,EMP-016,Closed,East,True,N,0.11
ORD-0168,bathrobe,538526465-2,8,800,6400,5/6/2025,EMP-031,Closed,South,False,N,0.11
ORD-0653,toohbrush holders,,11,600,6600,4/5/2025,EMP-030,Open,North,True,N,0.1
ORD-0197,dish soap dispenser,184484650-4,5,880,4400,7/8/2025,EMP-033,Open,West,False,soap holder,0.72
ORD-0626,vase,437467670-8,20,690,13800,4/5/2025,EMP-030,Open,North,False,vase,0.98
ORD-0289,potato masher,248590984-9,8,930,7440,9/10/2025,EMP-035,Cancelled,South,False,potato masher,0.86
ORD-0032,potato masher,248590984-9,13,930,12090,4/24/2025,EMP-021,Open,West,False,potato masher,0.86
ORD-0261,clock,168566935-2,18,650,11700,8/28/2025,EMP-025,Closed,West,False,clock,1.0
ORD-0099,hairdryer,444723983-3,2,780,1560,8/9/2025,EMP-034,Closed,North,False,N,0.11
ORD-0716,bed,924658502-X,10,530,5300,4/5/2025,EMP-030,Open,North,False,bed,0.99
ORD-0460,doorbell,753298946-1,7,930,6510,9/1/2025,EMP-026,Cancelled,North,False,doorbell,0.79
ORD-0577,mirror,595523540-X,5,530,2650,9/10/2025,EMP-035,Cancelled,South,False,mirror,0.96
ORD-0693,garbage bags,808418777-5,18,630,11340,8/9/2025,EMP-034,Closed,North,False,garbage bags,0.98
ORD-0718,lamp,663027687-6,6,600,3600,6/7/2025,EMP-032,Cancelled,East,False,lamp,0.99
ORD-0618,potato masher,248590984-9,7,930,6510,5/6/2025,EMP-031,Closed,South,False,potato masher,0.86
ORD-0730,rug,462338743-7,20,680,13600,9/1/2025,EMP-026,Cancelled,North,False,rug,1.0
ORD-0826,extension cord,213627902-5,17,840,14280,6/7/2025,EMP-032,Cancelled,East,False,extension cord,0.73
ORD-0708,towel,128737223-6,7,590,4130,5/6/2025,EMP-031,Closed,South,False,towel,0.71
ORD-0534,pillows,234111883-6,18,700,12600,2/3/2025,EMP-028,Closed,East,False,pillows,1.0
ORD-0536,tongs,734549797-6,8,690,5520,4/5/2025,EMP-030,Open,North,False,tongs,0.99
ORD-0166,cutting board,288099785-2,14,990,13860,3/4/2025,EMP-029,Cancelled,West,False,cutting board,0.98
ORD-0769,rblnder,,18,650,11700,3/13/2025,EMP-038,Cancelled,North,True,N,0.11
ORD-0284,cutting board,288099785-2,19,990,18810,4/5/2025,EMP-030,Open,North,False,cutting board,0.98
ORD-0701,meat tenderizer,854302527-3,7,560,3920,7/27/2025,EMP-024,Open,East,False,meat tenderizer,0.74
ORD-0388,pillows,234111883-6,14,700,9800,9/10/2025,EMP-035,Cancelled,South,False,pillows,1.0
ORD-0860,organizer,914279681-4,15,700,10500,4/5/2025,EMP-030,Open,North,False,organizer,0.82
ORD-0530,fabric softener,591246349-4,10,940,9400,7/27/2025,EMP-024,Open,East,False,fabric softener,0.67
